exp_id,residuals,dir1,dir2,log(loss),accuracy
0,TRUE,-0.9473684211,-0.9473684211,0.8523388624,94.11%
0,TRUE,-0.9473684211,-0.7368421053,0.6928446548,94.11%
0,TRUE,-0.9473684211,-0.5263157895,0.7734156243,94.11%
0,TRUE,-0.9473684211,-0.3157894737,0.7930025774,94.11%
0,TRUE,-0.9473684211,-0.1052631579,0.7667064758,94.11%
0,TRUE,-0.9473684211,0.1052631579,0.7667017014,94.11%
0,TRUE,-0.9473684211,0.3157894737,0.7491505674,94.11%
0,TRUE,-0.9473684211,0.5263157895,0.6917602727,94.11%
0,TRUE,-0.9473684211,0.7368421053,0.7057451271,94.11%
0,TRUE,-0.9473684211,0.9473684211,0.9318999426,94.11%
0,TRUE,-0.7368421053,-0.9473684211,0.745584571,94.11%
0,TRUE,-0.7368421053,-0.7368421053,0.9218390855,94.11%
0,TRUE,-0.7368421053,-0.5263157895,0.8320263162,94.11%
0,TRUE,-0.7368421053,-0.3157894737,0.7190720292,94.11%
0,TRUE,-0.7368421053,-0.1052631579,0.6122590026,94.11%
0,TRUE,-0.7368421053,0.1052631579,0.5920097437,94.11%
0,TRUE,-0.7368421053,0.3157894737,0.6586390875,94.11%
0,TRUE,-0.7368421053,0.5263157895,0.7135746296,94.11%
0,TRUE,-0.7368421053,0.7368421053,0.7749377572,94.11%
0,TRUE,-0.7368421053,0.9473684211,0.7616989274,94.11%
0,TRUE,-0.5263157895,-0.9473684211,0.8176198365,94.11%
0,TRUE,-0.5263157895,-0.7368421053,0.7515222222,94.11%
0,TRUE,-0.5263157895,-0.5263157895,0.58311605,94.11%
0,TRUE,-0.5263157895,-0.3157894737,0.3731712072,94.11%
0,TRUE,-0.5263157895,-0.1052631579,0.1817167058,94.11%
0,TRUE,-0.5263157895,0.1052631579,0.1834381849,94.11%
0,TRUE,-0.5263157895,0.3157894737,0.4421914925,94.11%
0,TRUE,-0.5263157895,0.5263157895,0.679677575,94.11%
0,TRUE,-0.5263157895,0.7368421053,0.817479809,94.11%
0,TRUE,-0.5263157895,0.9473684211,0.8759613547,94.11%
0,TRUE,-0.3157894737,-0.9473684211,0.6798155966,94.11%
0,TRUE,-0.3157894737,-0.7368421053,0.5499035444,94.11%
0,TRUE,-0.3157894737,-0.5263157895,0.3319965998,94.11%
0,TRUE,-0.3157894737,-0.3157894737,-0.034125617,94.11%
0,TRUE,-0.3157894737,-0.1052631579,-0.2772238084,94.11%
0,TRUE,-0.3157894737,0.1052631579,-0.2475445913,94.11%
0,TRUE,-0.3157894737,0.3157894737,0.1089643898,94.11%
0,TRUE,-0.3157894737,0.5263157895,0.5501751228,94.11%
0,TRUE,-0.3157894737,0.7368421053,0.7889604554,94.11%
0,TRUE,-0.3157894737,0.9473684211,0.9060892551,94.11%
0,TRUE,-0.1052631579,-0.9473684211,0.673997786,94.11%
0,TRUE,-0.1052631579,-0.7368421053,0.5366500706,94.11%
0,TRUE,-0.1052631579,-0.5263157895,0.1644619503,94.11%
0,TRUE,-0.1052631579,-0.3157894737,-0.2865176674,94.11%
0,TRUE,-0.1052631579,-0.1052631579,-0.5004254397,94.11%
0,TRUE,-0.1052631579,0.1052631579,-0.4807284754,94.11%
0,TRUE,-0.1052631579,0.3157894737,-0.1690664651,94.11%
0,TRUE,-0.1052631579,0.5263157895,0.4083629458,94.11%
0,TRUE,-0.1052631579,0.7368421053,0.7572244063,94.11%
0,TRUE,-0.1052631579,0.9473684211,0.9003575307,94.11%
0,TRUE,0.1052631579,-0.9473684211,0.6989177975,94.11%
0,TRUE,0.1052631579,-0.7368421053,0.6261398716,94.11%
0,TRUE,0.1052631579,-0.5263157895,0.2484110691,94.11%
0,TRUE,0.1052631579,-0.3157894737,-0.2682033783,94.11%
0,TRUE,0.1052631579,-0.1052631579,-0.4996232935,94.11%
0,TRUE,0.1052631579,0.1052631579,-0.5067893233,94.11%
0,TRUE,0.1052631579,0.3157894737,-0.2527498561,94.11%
0,TRUE,0.1052631579,0.5263157895,0.3757713664,94.11%
0,TRUE,0.1052631579,0.7368421053,0.7616267784,94.11%
0,TRUE,0.1052631579,0.9473684211,0.894093771,94.11%
0,TRUE,0.3157894737,-0.9473684211,0.6895640973,94.11%
0,TRUE,0.3157894737,-0.7368421053,0.6989321871,94.11%
0,TRUE,0.3157894737,-0.5263157895,0.4650248933,94.11%
0,TRUE,0.3157894737,-0.3157894737,-0.02106425641,94.11%
0,TRUE,0.3157894737,-0.1052631579,-0.3167662547,94.11%
0,TRUE,0.3157894737,0.1052631579,-0.3467251013,94.11%
0,TRUE,0.3157894737,0.3157894737,-0.102197386,94.11%
0,TRUE,0.3157894737,0.5263157895,0.4390338892,94.11%
0,TRUE,0.3157894737,0.7368421053,0.7631235705,94.11%
0,TRUE,0.3157894737,0.9473684211,0.8690726175,94.11%
0,TRUE,0.5263157895,-0.9473684211,0.6993921784,94.11%
0,TRUE,0.5263157895,-0.7368421053,0.754102638,94.11%
0,TRUE,0.5263157895,-0.5263157895,0.6803245062,94.11%
0,TRUE,0.5263157895,-0.3157894737,0.3914822454,94.11%
0,TRUE,0.5263157895,-0.1052631579,0.1230009733,94.11%
0,TRUE,0.5263157895,0.1052631579,0.09668974078,94.11%
0,TRUE,0.5263157895,0.3157894737,0.3035497853,94.11%
0,TRUE,0.5263157895,0.5263157895,0.5692798488,94.11%
0,TRUE,0.5263157895,0.7368421053,0.7955026322,94.11%
0,TRUE,0.5263157895,0.9473684211,0.8245106109,94.11%
0,TRUE,0.7368421053,-0.9473684211,0.7001861232,94.11%
0,TRUE,0.7368421053,-0.7368421053,0.7855353361,94.11%
0,TRUE,0.7368421053,-0.5263157895,0.8222013624,94.11%
0,TRUE,0.7368421053,-0.3157894737,0.7299089901,94.11%
0,TRUE,0.7368421053,-0.1052631579,0.6236768086,94.11%
0,TRUE,0.7368421053,0.1052631579,0.6105900124,94.11%
0,TRUE,0.7368421053,0.3157894737,0.6762392551,94.11%
0,TRUE,0.7368421053,0.5263157895,0.7248389057,94.11%
0,TRUE,0.7368421053,0.7368421053,0.8054597928,94.11%
0,TRUE,0.7368421053,0.9473684211,0.7227198506,94.11%
0,TRUE,0.9473684211,-0.9473684211,0.7895731919,94.11%
0,TRUE,0.9473684211,-0.7368421053,0.772718394,94.11%
0,TRUE,0.9473684211,-0.5263157895,0.8187198943,94.11%
0,TRUE,0.9473684211,-0.3157894737,0.8006266401,94.11%
0,TRUE,0.9473684211,-0.1052631579,0.761875154,94.11%
0,TRUE,0.9473684211,0.1052631579,0.7302682192,94.11%
0,TRUE,0.9473684211,0.3157894737,0.7542484946,94.11%
0,TRUE,0.9473684211,0.5263157895,0.7408634255,94.11%
0,TRUE,0.9473684211,0.7368421053,0.6685147927,94.11%
0,TRUE,0.9473684211,0.9473684211,0.8469525349,94.11%
1,TRUE,-1,-1,1.220582651,94.11%
1,TRUE,-1,-0.8,0.6586689607,94.11%
1,TRUE,-1,-0.6,0.6725414902,94.11%
1,TRUE,-1,-0.4,0.7336880037,94.11%
1,TRUE,-1,-0.2,0.7565515131,94.11%
1,TRUE,-1,0,0.7417116223,94.11%
1,TRUE,-1,0.2,0.7431701833,94.11%
1,TRUE,-1,0.4,0.6977624358,94.11%
1,TRUE,-1,0.6,0.6827011265,94.11%
1,TRUE,-1,0.8,0.8079918897,94.11%
1,TRUE,-1,1,1.213076308,94.11%
1,TRUE,-0.8,-1,0.629759644,94.11%
1,TRUE,-0.8,-0.8,0.856655074,94.11%
1,TRUE,-0.8,-0.6,0.8994228273,94.11%
1,TRUE,-0.8,-0.4,0.8149339597,94.11%
1,TRUE,-0.8,-0.2,0.7285295508,94.11%
1,TRUE,-0.8,0,0.6681042082,94.11%
1,TRUE,-0.8,0.2,0.6863700848,94.11%
1,TRUE,-0.8,0.4,0.7119472024,94.11%
1,TRUE,-0.8,0.6,0.7279377925,94.11%
1,TRUE,-0.8,0.8,0.7616032439,94.11%
1,TRUE,-0.8,1,0.7572276711,94.11%
1,TRUE,-0.6,-1,0.8040813462,94.11%
1,TRUE,-0.6,-0.8,0.8722544352,94.11%
1,TRUE,-0.6,-0.6,0.7316765515,94.11%
1,TRUE,-0.6,-0.4,0.5852978237,94.11%
1,TRUE,-0.6,-0.2,0.4179756668,94.11%
1,TRUE,-0.6,0,0.3252405528,94.11%
1,TRUE,-0.6,0.2,0.4220554077,94.11%
1,TRUE,-0.6,0.4,0.6159089277,94.11%
1,TRUE,-0.6,0.6,0.7395752675,94.11%
1,TRUE,-0.6,0.8,0.8353083431,94.11%
1,TRUE,-0.6,1,0.8228432464,94.11%
